,0,1,2
341,0.48,0.49,0.03
342,0.0,0.0,1.0
343,0.0,0.0,1.0
344,0.45,0.36,0.19
345,0.09,0.11,0.8
346,0.21,0.79,0.0
347,0.76,0.24,0.0
348,0.08,0.89,0.03
349,0.0,0.0,1.0
350,0.5,0.38,0.12
351,0.21,0.7,0.09
352,0.31,0.15,0.54
353,0.16,0.12,0.72
354,0.0,0.0,1.0
355,0.31,0.54,0.15
356,0.49,0.51,0.0
357,0.29,0.6,0.11
358,0.43,0.5,0.07
359,0.14,0.86,0.0
360,0.33,0.62,0.05
361,0.53,0.4,0.07
362,0.61,0.35,0.04
363,0.0,0.0,1.0
364,0.0,0.0,1.0
365,0.27,0.48,0.25
366,0.4,0.58,0.02
367,0.0,0.0,1.0
368,0.0,0.0,1.0
369,0.55,0.42,0.03
370,0.15,0.85,0.0
371,0.17,0.08,0.75
372,0.1,0.89,0.01
373,0.09,0.17,0.74
374,0.21,0.66,0.13
375,0.0,0.0,1.0
376,0.0,0.0,1.0
377,0.66,0.33,0.01
378,0.0,0.0,1.0
379,0.05,0.14,0.81
380,0.58,0.41,0.01
381,0.48,0.4,0.12
382,0.41,0.43,0.16
383,0.0,0.0,1.0
384,0.13,0.07,0.8
385,0.06,0.94,0.0
386,0.6,0.4,0.0
387,0.0,0.0,1.0
388,0.53,0.46,0.01
389,0.0,0.0,1.0
390,0.24,0.75,0.01
391,0.0,0.0,1.0
392,0.24,0.1,0.66
393,0.0,0.0,1.0
394,0.62,0.36,0.02
395,0.3,0.65,0.05
396,0.0,0.0,1.0
397,0.05,0.95,0.0
398,0.15,0.07,0.78
399,0.46,0.42,0.12
400,0.01,0.29,0.7
401,0.0,0.0,1.0
402,0.06,0.94,0.0
403,0.55,0.41,0.04
404,0.0,0.0,1.0
405,0.08,0.17,0.75
406,0.0,0.0,1.0
407,0.24,0.75,0.01
408,0.03,0.34,0.63
409,0.0,0.0,1.0
410,0.01,0.06,0.93
411,0.22,0.78,0.0
412,0.66,0.3,0.04
413,0.28,0.71,0.01
414,0.0,0.0,1.0
415,0.77,0.23,0.0
416,0.0,0.0,1.0
417,0.22,0.23,0.55
418,0.01,0.04,0.95
419,0.0,0.0,1.0
420,0.11,0.25,0.64
421,0.12,0.16,0.72
422,0.59,0.41,0.0
423,0.02,0.01,0.97
424,0.33,0.42,0.25
425,0.06,0.93,0.01
426,0.6,0.36,0.04
427,0.0,0.0,1.0
428,0.36,0.58,0.06
429,0.0,0.0,1.0
430,0.0,0.0,1.0
431,0.67,0.33,0.0
432,0.64,0.36,0.0
433,0.0,0.0,1.0
434,0.04,0.96,0.0
435,0.09,0.31,0.6
436,0.58,0.42,0.0
437,0.1,0.9,0.0
438,0.18,0.82,0.0
439,0.1,0.36,0.54
440,0.03,0.02,0.95
441,0.17,0.27,0.56
442,0.18,0.12,0.7
443,0.0,0.0,1.0
444,0.51,0.45,0.04
445,0.04,0.95,0.01
446,0.0,0.0,1.0
447,0.05,0.95,0.0
448,0.4,0.52,0.08
449,0.6,0.37,0.03
450,0.72,0.28,0.0
451,0.32,0.68,0.0
452,0.29,0.54,0.17
453,0.26,0.69,0.05
454,0.05,0.24,0.71
455,0.55,0.39,0.06
456,0.0,0.0,1.0
457,0.15,0.81,0.04
458,0.65,0.34,0.01
459,0.0,0.0,1.0
460,0.14,0.08,0.78
461,0.07,0.92,0.01
462,0.44,0.55,0.01
463,0.0,0.0,1.0
464,0.53,0.45,0.02
465,0.0,0.0,1.0
466,0.17,0.78,0.05
467,0.0,0.0,1.0
468,0.46,0.34,0.2
469,0.0,0.0,1.0
470,0.22,0.77,0.01
471,0.06,0.94,0.0
472,0.07,0.92,0.01
473,0.16,0.05,0.79
474,0.0,0.0,1.0
475,0.31,0.66,0.03
476,0.59,0.41,0.0
477,0.31,0.69,0.0
478,0.24,0.29,0.47
479,0.0,0.0,1.0
480,0.21,0.76,0.03
481,0.22,0.08,0.7
482,0.61,0.39,0.0
483,0.5,0.41,0.09
484,0.25,0.22,0.53
485,0.0,0.0,1.0
486,0.0,0.0,1.0
487,0.65,0.35,0.0
488,0.48,0.34,0.18
489,0.4,0.52,0.08
490,0.48,0.43,0.09
491,0.12,0.33,0.55
492,0.0,0.0,1.0
493,0.0,0.0,1.0
494,0.0,0.0,1.0
495,0.63,0.36,0.01
496,0.53,0.45,0.02
497,0.39,0.53,0.08
498,0.69,0.26,0.05
499,0.07,0.01,0.92
500,0.51,0.42,0.07
501,0.0,0.0,1.0
502,0.0,0.0,1.0
503,0.0,0.0,1.0
504,0.0,0.0,1.0
505,0.19,0.8,0.01
506,0.56,0.42,0.02
507,0.52,0.45,0.03
508,0.0,0.0,1.0
509,0.0,0.0,1.0
510,0.04,0.96,0.0
511,0.03,0.1,0.87
512,0.56,0.42,0.02
513,0.06,0.22,0.72
514,0.1,0.88,0.02
515,0.57,0.43,0.0
516,0.34,0.59,0.07
517,0.07,0.9,0.03
518,0.09,0.3,0.61
519,0.19,0.8,0.01
520,0.54,0.45,0.01
521,0.22,0.2,0.58
522,0.31,0.39,0.3
523,0.49,0.5,0.01
524,0.0,0.0,1.0
525,0.0,0.0,1.0
526,0.09,0.04,0.87
527,0.0,0.0,1.0
528,0.13,0.87,0.0
529,0.0,0.0,1.0
530,0.24,0.2,0.56
531,0.0,0.0,1.0
532,0.2,0.33,0.47
533,0.58,0.4,0.02
534,0.2,0.8,0.0
535,0.34,0.58,0.08
536,0.06,0.19,0.75
537,0.3,0.12,0.58
538,0.0,0.0,1.0
539,0.15,0.84,0.01
540,0.2,0.79,0.01
