Wavelength,Coastal Aerosol,Blue,Green,Red,NIR,Pan,Cirrus,SWIR1,SWIR2
451,0.335996777,0.284260541,1.88255E-06,1.37091E-05,4.54584E-06,4.11558E-06,0.000E+00,0.000E+00,0.000E+00
452,0.132112443,0.526226342,1.90458E-06,7.81989E-06,5.19679E-06,3.68896E-06,0.000E+00,0.000E+00,0.000E+00
453,0.049114674,0.754618227,1.97644E-06,2.98663E-06,3.40263E-06,3.48999E-06,0.000E+00,0.000E+00,0.000E+00
454,0.019386014,0.85015893,2.22389E-06,1.14759E-06,1.67946E-06,3.52858E-06,0.000E+00,0.000E+00,0.000E+00
455,0.008478669,0.870507479,2.58671E-06,6.70602E-07,1.28207E-06,3.7964E-06,0.000E+00,0.000E+00,0.000E+00
456,0.003602237,0.873015285,3.15566E-06,5.38451E-07,1.24578E-06,4.27051E-06,0.000E+00,0.000E+00,0.000E+00
457,0.001694543,0.873860121,3.66598E-06,5.10062E-07,1.02044E-06,5.13888E-06,0.000E+00,0.000E+00,0.000E+00
458,0.00077237,0.874113142,3.90567E-06,6.16252E-07,5.06569E-07,6.33826E-06,0.000E+00,0.000E+00,0.000E+00
459,0.00036698,0.875359893,3.76651E-06,1.012E-06,2.25249E-07,8.09179E-06,0.000E+00,0.000E+00,0.000E+00
460,0.000182991,0.879366219,3.2889E-06,2.126E-06,1.34959E-07,1.04606E-05,0.000E+00,0.000E+00,0.000E+00
461,9.52232E-05,0.881821811,2.824E-06,4.35126E-06,1.93883E-07,1.36263E-05,0.000E+00,0.000E+00,0.000E+00
462,5.1784E-05,0.881103754,2.4525E-06,5.39874E-06,4.2382E-07,1.72026E-05,0.000E+00,0.000E+00,0.000E+00
463,2.90191E-05,0.882394493,2.26599E-06,3.67776E-06,1.31373E-06,2.01153E-05,0.000E+00,0.000E+00,0.000E+00
464,1.69234E-05,0.888079941,2.24069E-06,1.72982E-06,4.76461E-06,2.19439E-05,0.000E+00,0.000E+00,0.000E+00
465,1.02269E-05,0.893659711,2.25329E-06,8.12593E-07,1.05358E-05,2.27589E-05,0.000E+00,0.000E+00,0.000E+00
466,6.23645E-06,0.89804703,2.50555E-06,4.25628E-07,1.54238E-05,2.27653E-05,0.000E+00,0.000E+00,0.000E+00
467,3.86289E-06,0.900572658,2.87891E-06,2.61748E-07,1.95854E-05,2.24354E-05,0.000E+00,0.000E+00,0.000E+00
468,2.44373E-06,0.891317844,3.58028E-06,1.91567E-07,1.65853E-05,2.23723E-05,0.000E+00,0.000E+00,0.000E+00
469,1.62437E-06,0.866573513,4.7921E-06,1.4635E-07,9.00815E-06,2.29142E-05,0.000E+00,0.000E+00,0.000E+00
470,1.00314E-06,0.835843503,6.59857E-06,7.39616E-08,4.40165E-06,2.41523E-05,0.000E+00,0.000E+00,0.000E+00
471,6.20921E-07,0.815517545,9.19699E-06,7.91844E-08,2.3511E-06,2.64418E-05,0.000E+00,0.000E+00,0.000E+00
472,4.38923E-07,0.817728102,1.19694E-05,1.41066E-07,1.46266E-06,2.95723E-05,0.000E+00,0.000E+00,0.000E+00
